,location,size,total_sqft,bath,price,bhk,price_per_sqft
55,Begur Road,2 BHK,1200.0,2.0,44.0,2,3666
56,other,2 BHK,1500.0,2.0,185.0,2,12333
57,Murugeshpalya,6 Bedroom,1407.0,4.0,150.0,6,10660
58,other,2 BHK,840.0,2.0,45.0,2,5357
59,other,3 Bedroom,4395.0,3.0,240.0,3,5460
60,other,2 BHK,845.0,2.0,55.0,2,6508
61,Whitefield,4 Bedroom,5700.0,5.0,650.0,4,11403
62,Varthur,2 BHK,1160.0,2.0,44.0,2,3793
63,Bommanahalli,8 Bedroom,3000.0,8.0,140.0,8,4666
64,Doddathoguru,2 BHK,1100.0,2.0,62.0,2,5636
65,Gunjur,2 BHK,1140.0,2.0,43.0,2,3771
66,Marathahalli,2 BHK,1220.0,2.0,57.0,2,4672
67,Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,8,6296
68,Kanakpura Road,2 BHK,1005.0,2.0,36.68,2,3649
69,other,3 Bedroom,500.0,3.0,100.0,3,20000
70,Begur Road,2 BHK,1358.0,2.0,80.58,2,5933
71,Hegde Nagar,3 BHK,1569.0,3.0,101.0,3,6437
72,Haralur Road,2 BHK,1240.0,2.0,70.0,2,5645
73,Hennur Road,3 BHK,2089.0,3.0,140.0,3,6701
74,Kothannur,2 BHK,1206.0,2.0,48.23,2,3999
75,Kalena Agrahara,2 BHK,1150.0,2.0,40.0,2,3478
76,other,3 BHK,2511.0,3.0,205.0,3,8164
77,Kaval Byrasandra,2 BHK,460.0,1.0,22.0,2,4782
78,ISRO Layout,6 Bedroom,4400.0,6.0,250.0,6,5681
79,other,3 BHK,1660.0,2.0,105.0,3,6325
80,Yelahanka,2 BHK,1326.0,2.0,78.0,2,5882
81,Garudachar Palya,3 BHK,1325.0,2.0,60.8,3,4588
82,EPIP Zone,3 BHK,1499.0,5.0,102.0,3,6804
83,Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,6,7000
84,Kanakpura Road,3 BHK,1665.0,3.0,88.0,3,5285
85,Dasanapura,2 BHK,708.0,2.0,37.0,2,5225
86,Kasavanhalli,2 BHK,1060.0,2.0,58.06,2,5477
87,Rajaji Nagar,6 Bedroom,710.0,6.0,160.0,6,22535
88,Sanjay nagar,2 BHK,1000.0,2.0,70.0,2,7000
89,Electronic City,2 BHK,1000.0,2.0,28.88,2,2888
90,other,3 BHK,1450.0,2.0,70.0,3,4827
91,ISRO Layout,4 Bedroom,1200.0,4.0,155.0,4,12916
92,Thanisandra,2 BHK,1296.0,2.0,80.0,2,6172
93,Domlur,3 BHK,1540.0,3.0,90.0,3,5844
94,Kengeri,4 Bedroom,2894.0,4.0,245.0,4,8465
95,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,48.0,3,3609
96,other,2 BHK,1200.0,2.0,65.0,2,5416
97,other,3 Bedroom,1200.0,3.0,90.0,3,7500
98,Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3,5515
99,Chandapura,2 BHK,650.0,1.0,17.0,2,2615
100,Kothanur,3 Bedroom,2400.0,2.0,150.0,3,6250
101,other,2 BHK,1007.0,2.0,43.0,2,4270
102,other,2 BHK,1200.0,2.0,50.0,2,4166
103,other,2 BHK,966.0,2.0,49.9,2,5165
104,Nagarbhavi,3 BHK,1630.0,2.0,98.0,3,6012
105,Rajaji Nagar,3 BHK,1640.0,3.0,229.0,3,13963
106,other,2 BHK,782.0,2.0,55.68,2,7120
107,Devanahalli,2 BHK,1260.0,2.0,66.78,2,5300
108,other,3 BHK,1800.0,3.0,120.0,3,6666
109,other,3 BHK,1413.0,2.0,75.0,3,5307
110,Whitefield,2 BHK,1116.0,2.0,51.91,2,4651
111,Electronic City,3 BHK,1530.0,2.0,45.9,3,3000
112,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,4,6081
113,Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3,5606
114,Kengeri,3 BHK,1540.0,2.0,64.0,3,4155
115,Thanisandra,3 BHK,1436.0,3.0,74.75,3,5205
116,Malleshwaram,2 BHK,1100.0,2.0,75.0,2,6818
117,Hennur Road,2 Bedroom,276.0,3.0,23.0,2,8333
118,Thanisandra,3 BHK,1427.0,3.0,120.0,3,8409
119,Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3,9704
120,Hebbal,4 BHK,5611.5,4.0,477.0,4,8500
121,Shampura,4 BHK,2650.0,4.0,150.0,4,5660
122,Devanahalli,3 BHK,1282.0,2.0,68.52,3,5344
123,Kadugodi,2 BHK,1050.0,2.0,34.0,2,3238
124,LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,3,4062
125,other,2 BHK,945.0,2.0,54.0,2,5714
126,Hormavu,2 BHK,1500.0,2.0,78.0,2,5200
127,Vishwapriya Layout,7 Bedroom,950.0,7.0,115.0,7,12105
128,other,3 BHK,1870.0,3.0,110.0,3,5882
129,Sarjapur,3 Bedroom,1600.0,3.0,75.0,3,4687
130,Electronic City,2 BHK,880.0,1.0,16.5,2,1875
131,other,4 Bedroom,1200.0,4.0,210.0,4,17500
132,Kudlu Gate,3 BHK,1535.0,3.0,83.0,3,5407
133,Kanakpura Road,2 BHK,950.0,2.0,57.0,2,6000
134,Devanahalli,2 BHK,1360.0,2.0,65.0,2,4779
135,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030
136,Bommasandra Industrial Area,3 BHK,1280.0,3.0,50.4,3,3937
137,other,3 BHK,1260.0,2.0,85.05,3,6750
138,Hennur Road,8 Bedroom,5000.0,8.0,250.0,8,5000
139,Yelahanka,5 BHK,3050.0,5.0,213.0,5,6983
140,Kasavanhalli,3 BHK,1563.05,3.0,105.0,3,6717
141,ISRO Layout,2 BHK,1000.0,2.0,60.0,2,6000
142,Anandapura,2 BHK,1167.0,2.0,43.76,2,3749
143,Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,7,5625
144,Kothanur,3 BHK,1828.0,3.0,110.0,3,6017
145,Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2,3932
146,other,3 BHK,1612.0,3.0,46.74,3,2899
147,other,6 Bedroom,1034.0,5.0,185.0,6,17891
148,Mysore Road,3 BHK,1710.0,4.0,91.31,3,5339
149,Kannamangala,2 BHK,957.0,2.0,58.0,2,6060
150,Devarachikkanahalli,3 BHK,1250.0,2.0,44.0,3,3520
151,other,3 BHK,2795.0,4.0,235.0,3,8407
152,Hulimavu,2 BHK,1125.0,2.0,50.0,2,4444
153,Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2,3000
154,Kalena Agrahara,2 BHK,1200.0,2.0,50.0,2,4166
155,Thanisandra,3 BHK,1735.0,3.0,135.0,3,7780
156,Thanisandra,3 BHK,2050.0,3.0,145.0,3,7073
157,Mahalakshmi Layout,4 Bedroom,3750.0,4.0,760.0,4,20266
158,other,3 BHK,1350.0,2.0,48.0,3,3555
159,Hosa Road,2 BHK,1063.0,2.0,32.0,2,3010
160,other,3 BHK,1904.0,3.0,150.0,3,7878
161,Whitefield,4 Bedroom,4200.0,4.0,420.0,4,10000
162,other,3 BHK,2000.0,3.0,175.0,3,8750
163,Sarjapur,2 BHK,1242.5,2.0,43.49,2,3500
164,other,3 BHK,1425.0,2.0,75.0,3,5263
165,Electronic City,3 BHK,1500.0,2.0,64.5,3,4300
166,Electronic City,2 BHK,1060.0,2.0,60.0,2,5660
167,other,3 BHK,1470.0,2.0,70.0,3,4761
168,other,6 BHK,1300.0,6.0,99.0,6,7615
169,Attibele,1 BHK,450.0,1.0,11.0,1,2444
170,Electronic City,2 BHK,1152.0,2.0,64.5,2,5598
171,Electronic City,3 BHK,1350.0,2.0,56.0,3,4148
172,CV Raman Nagar,3 BHK,1550.0,3.0,65.0,3,4193
173,other,3 Bedroom,1500.0,3.0,100.0,3,6666
174,Kumaraswami Layout,5 Bedroom,600.0,3.0,85.0,5,14166
175,Nagavara,1 Bedroom,400.0,1.0,14.0,1,3500
176,Malleshwaram,1 BHK,705.0,1.0,67.0,1,9503
177,Electronic City,2 BHK,770.0,1.0,36.0,2,4675
178,Hulimavu,2 BHK,1242.0,2.0,51.0,2,4106
179,Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3,9117
180,Thanisandra,3 BHK,2144.0,3.0,145.0,3,6763
181,Vijayanagar,3 BHK,1704.0,3.0,110.0,3,6455
182,Electronic City,2 BHK,1070.0,2.0,52.0,2,4859
183,other,3 Bedroom,1846.0,3.0,300.0,3,16251
184,other,2 BHK,1340.0,2.0,55.7,2,4156
185,Electronic City,2 BHK,1025.0,2.0,46.0,2,4487
186,KR Puram,2 BHK,1277.5,2.0,56.8,2,4446
187,Marathahalli,2 BHK,1200.0,2.0,52.0,2,4333
188,Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,4,4888
189,Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3,5161
190,Bellandur,4 Bedroom,1200.0,5.0,325.0,4,27083
191,other,7 Bedroom,1800.0,7.0,250.0,7,13888
192,Marathahalli,2 BHK,1200.0,2.0,60.0,2,5000
193,Yelahanka,2 BHK,1327.0,2.0,98.0,2,7385
194,Kothanur,2 BHK,1186.0,2.0,58.0,2,4890
195,other,3 Bedroom,1783.0,3.0,115.0,3,6449
196,HSR Layout,3 BHK,1400.0,3.0,56.0,3,4000
197,Nagasandra,2 BHK,980.0,2.0,48.0,2,4897
198,EPIP Zone,2 BHK,1285.0,2.0,82.0,2,6381
199,other,3 BHK,912.0,2.0,70.0,3,7675
200,Whitefield,2 BHK,1225.0,2.0,47.6,2,3885
201,Whitefield,2 BHK,1075.0,2.0,53.0,2,4930
202,Kadugodi,3 BHK,1260.0,2.0,54.0,3,4285
203,Yelahanka,3 BHK,1282.0,2.0,48.7,3,3798
204,Kogilu,3 BHK,1909.0,3.0,88.0,3,4609
205,Panathur,2 BHK,1359.0,2.0,87.0,2,6401
206,other,2 BHK,1207.0,2.0,43.5,2,3603
207,Padmanabhanagar,4 Bedroom,1736.0,6.0,190.0,4,10944
208,1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,15017
209,Kammasandra,3 BHK,1595.0,3.0,65.0,3,4075
210,other,3 BHK,1798.0,3.0,89.0,3,4949
211,Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3,5307
212,other,3 BHK,1580.0,3.0,100.0,3,6329
213,Dasarahalli,2 BHK,1295.0,2.0,65.0,2,5019
214,Magadi Road,6 Bedroom,3600.0,6.0,141.0,6,3916
215,Electronic City,1 BHK,589.0,1.0,27.0,1,4584
216,other,3 BHK,1415.0,3.0,78.0,3,5512
217,Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3,5500
218,Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3,6994
219,Koramangala,3 BHK,1475.0,2.0,90.0,3,6101
220,other,4 BHK,2000.0,4.0,75.5,4,3775
221,Sarjapur  Road,2 BHK,984.0,2.0,44.28,2,4500
222,other,3 BHK,2405.0,4.0,260.0,3,10810
223,7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666
224,other,2 Bedroom,1500.0,2.0,115.0,2,7666
225,Hebbal,3 BHK,1900.0,3.0,119.0,3,6263
226,Dommasandra,2 BHK,805.0,2.0,22.14,2,2750
227,Budigere,2 BHK,1153.0,2.0,56.4,2,4891
228,other,2 BHK,1148.0,2.0,60.0,2,5226
229,other,2 BHK,1110.0,2.0,55.0,2,4954
230,Electronic City,2 BHK,1100.0,2.0,42.0,2,3818
231,Kalyan nagar,2 BHK,1290.0,2.0,110.0,2,8527
232,other,3 BHK,1500.0,2.0,65.0,3,4333
233,other,2 BHK,1080.0,2.0,39.0,2,3611
234,Vijayanagar,3 BHK,1933.0,3.0,129.0,3,6673
235,Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,5,4285
236,other,2 BHK,1060.0,2.0,60.0,2,5660
237,Chandapura,1 BHK,645.0,1.0,16.45,1,2550
238,other,8 Bedroom,2600.0,8.0,180.0,8,6923
239,Chandapura,1 BHK,645.0,1.0,16.45,1,2550
240,other,3 BHK,1644.0,3.0,84.0,3,5109
241,other,2 BHK,1285.0,2.0,72.5,2,5642
242,Electronic City,3 Bedroom,1200.0,3.0,90.0,3,7500
243,Electronic City,2 BHK,910.0,2.0,40.0,2,4395
244,Kothanur,3 BHK,1577.0,3.0,70.0,3,4438
245,other,3 Bedroom,4050.0,3.0,280.0,3,6913
246,OMBR Layout,3 BHK,2420.0,3.0,185.0,3,7644
247,Chandapura,2 BHK,800.0,1.0,20.0,2,2500
248,other,2 BHK,1060.0,2.0,55.0,2,5188
249,7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322
250,other,2 BHK,900.0,2.0,22.5,2,2500
251,other,2 Bedroom,1280.0,2.0,69.0,2,5390
252,Horamavu Agara,4 Bedroom,1200.0,2.0,95.0,4,7916
253,Sarjapur  Road,2 BHK,1025.0,2.0,36.0,2,3512
254,Electronic City,2 BHK,1108.0,2.0,63.0,2,5685
255,other,5 Bedroom,1200.0,5.0,170.0,5,14166
256,other,3 BHK,3045.0,3.0,170.0,3,5582
257,Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,4,10344
258,Vijayanagar,3 BHK,1500.0,3.0,75.5,3,5033
259,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2,3389
260,Budigere,2 BHK,1162.0,2.0,59.9,2,5154
261,Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2,4753
262,Attibele,4 Bedroom,1600.0,4.0,52.8,4,3300
263,other,3 BHK,1464.0,3.0,46.0,3,3142
264,Hennur Road,3 BHK,1866.0,2.0,61.58,3,3300
265,other,2 BHK,700.0,1.0,26.0,2,3714
266,Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3,6651
267,Sarjapur,2 BHK,913.0,2.0,32.0,2,3504
268,Talaghattapura,3 BHK,1868.0,3.0,131.0,3,7012
269,Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2,5096
270,other,2 Bedroom,900.0,2.0,110.0,2,12222
271,Kogilu,3 BHK,1664.0,2.0,73.95,3,4444
272,Hegde Nagar,3 BHK,2026.0,3.0,132.0,3,6515
273,Balagere,2 BHK,1210.0,2.0,80.9,2,6685
274,other,4 Bedroom,4111.0,4.0,250.0,4,6081
275,Kadugodi,3 BHK,1762.0,3.0,91.45,3,5190
276,Jigani,3 BHK,1252.0,3.0,55.0,3,4392
277,Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2,4006
278,7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042
279,other,6 Bedroom,1450.0,6.0,250.0,6,17241
280,Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3,5288
281,Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3,4279
282,Old Madras Road,3 BHK,1425.0,2.0,94.0,3,6596
283,Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2,3333
284,Kaggadasapura,3 BHK,1280.0,2.0,56.0,3,4375
285,other,2 BHK,1084.0,2.0,50.0,2,4612
286,Chandapura,2 BHK,1015.0,2.0,25.88,2,2549
287,Kanakpura Road,2 BHK,1017.0,2.0,51.25,2,5039
288,Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284
289,Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2,4209
290,Hebbal,2 BHK,1349.0,2.0,98.2,2,7279
291,9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975
292,Jakkur,2 BHK,1417.0,2.0,75.0,2,5292
293,TC Palaya,3 Bedroom,1475.0,3.0,98.0,3,6644
294,other,2 BHK,950.0,2.0,47.0,2,4947
295,other,4 BHK,2000.0,4.0,120.0,4,6000
296,Giri Nagar,3 Bedroom,880.0,3.0,140.0,3,15909
297,Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4,5582
298,Singasandra,2 BHK,1010.0,2.0,29.5,2,2920
299,Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3,4912
300,Vijayanagar,3 BHK,1450.0,3.0,100.0,3,6896
301,Kothanur,3 BHK,1847.0,3.0,105.0,3,5684
302,AECS Layout,2 BHK,1100.0,2.0,45.0,2,4090
303,Kanakpura Road,1 BHK,525.0,1.0,26.0,1,4952
304,Mallasandra,3 BHK,1665.0,3.0,95.0,3,5705
305,Begur,4 BHK,1664.0,4.0,65.0,4,3906
306,JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108
307,Panathur,2 BHK,1438.0,2.0,100.0,2,6954
308,other,3 BHK,1560.0,3.0,115.0,3,7371
309,Yelahanka,2 BHK,1350.0,2.0,55.55,2,4114
310,Kanakpura Road,3 BHK,1550.0,3.0,67.0,3,4322
311,Malleshpalya,2 BHK,1140.0,2.0,46.5,2,4078
312,other,5 Bedroom,1200.0,5.0,180.0,5,15000
313,other,2 BHK,850.0,2.0,27.0,2,3176
314,Whitefield,2 BHK,1280.0,2.0,75.0,2,5859
315,Munnekollal,2 BHK,1170.0,2.0,52.0,2,4444
316,other,2 BHK,1113.0,2.0,51.0,2,4582
317,Hennur Road,2 BHK,1385.0,2.0,83.09,2,5999
318,Electronic City,2 BHK,1128.0,2.0,65.0,2,5762
319,Marathahalli,2 Bedroom,1200.0,2.0,128.0,2,10666
320,other,4 Bedroom,1200.0,4.0,165.0,4,13750
321,Rajaji Nagar,3 BHK,2390.0,3.0,415.0,3,17364
322,Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4,16666
323,Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825
324,other,2 BHK,1200.0,2.0,55.0,2,4583
325,Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2,4333
326,Kaggalipura,3 BHK,1150.0,2.0,55.0,3,4782
327,other,3 BHK,1645.0,3.0,95.0,3,5775
328,Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2,6700
329,Haralur Road,4 Bedroom,2650.0,4.0,198.0,4,7471
330,6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208
331,Ulsoor,3 BHK,2135.0,3.0,215.0,3,10070
332,Whitefield,2 BHK,1173.0,2.0,58.0,2,4944
333,Uttarahalli,2 BHK,1020.0,2.0,45.0,2,4411
334,Thigalarapalya,4 BHK,3122.0,6.0,230.0,4,7367
335,Somasundara Palya,3 BHK,1600.0,3.0,64.0,3,4000
336,other,2 Bedroom,1200.0,2.0,79.0,2,6583
337,other,2 BHK,1230.0,2.0,48.0,2,3902
338,Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,3200
339,Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2,5735
340,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108
341,Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2,5416
342,other,3 Bedroom,1350.0,2.0,140.0,3,10370
343,Bommasandra,3 BHK,1260.0,3.0,49.36,3,3917
344,other,3 BHK,1800.0,3.0,150.0,3,8333
346,Ardendale,2 BHK,1100.0,2.0,43.25,2,3931
347,Harlur,2 BHK,1508.0,2.0,77.0,2,5106
348,other,3 BHK,1592.0,3.0,75.0,3,4711
349,Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,4106
350,Electronic City Phase II,1 BHK,630.0,1.0,28.35,1,4500
351,other,3 Bedroom,2000.0,3.0,365.0,3,18250
352,other,3 BHK,1762.0,3.0,125.0,3,7094
353,other,2 BHK,950.0,2.0,50.0,2,5263
354,Kodihalli,4 BHK,3252.0,5.0,335.0,4,10301
355,Magadi Road,2 BHK,1116.0,2.0,50.0,2,4480
356,Narayanapura,2 BHK,1308.0,2.0,89.04,2,6807
357,other,3 BHK,1200.0,3.0,90.0,3,7500
358,other,4 Bedroom,1500.0,4.0,230.0,4,15333
359,Bannerghatta Road,1 BHK,500.0,1.0,18.5,1,3700
360,Hennur,2 BHK,1075.0,2.0,52.0,2,4837
361,Chandapura,1 BHK,530.0,1.0,11.66,1,2200
362,Bellandur,2 BHK,1205.0,2.0,66.0,2,5477
363,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581
364,KR Puram,2 BHK,930.0,2.0,39.0,2,4193
365,Balagere,2 BHK,1380.0,2.0,60.0,2,4347
366,Hebbal,4 BHK,2483.0,5.0,212.0,4,8538
367,Kodigehaali,2 BHK,1166.0,2.0,55.0,2,4716
368,Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2,6190
369,other,3 BHK,2023.71,3.0,275.0,3,13588
370,Begur Road,2 BHK,1200.0,2.0,46.8,2,3900
371,Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3,6750
372,Billekahalli,3 BHK,1935.0,3.0,110.0,3,5684
373,8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,6629
374,Electronic City,3 BHK,1800.0,3.0,95.0,3,5277
375,Jalahalli,3 BHK,1400.0,3.0,77.0,3,5500
376,Hegde Nagar,3 BHK,1801.0,3.0,115.0,3,6385
377,Mahadevpura,2 BHK,1451.0,2.0,90.0,2,6202
378,Anekal,2 Bedroom,1200.0,1.0,36.0,2,3000
379,Begur Road,2 BHK,1160.0,2.0,44.0,2,3793
380,Kengeri,2 BHK,1000.0,2.0,25.0,2,2500
381,Kanakpura Road,2 BHK,950.0,2.0,40.0,2,4210
382,other,3 BHK,1629.0,3.0,79.0,3,4849
383,Vijayanagar,3 BHK,1580.0,2.0,134.0,3,8481
384,Vijayanagar,3 BHK,1826.0,3.0,121.0,3,6626
385,7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2,7550
386,Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,45.79,2,3999
387,Sompura,2 BHK,825.0,2.0,33.0,2,4000
388,Yeshwanthpur,3 BHK,1693.0,3.0,108.0,3,6379
389,Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,2,4760
390,other,2 BHK,1460.0,2.0,58.0,2,3972
391,Doddathoguru,2 BHK,1050.0,2.0,32.0,2,3047
392,Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2,4365
393,other,6 BHK,700.0,3.0,120.0,6,17142
394,Hosur Road,2 BHK,1656.0,2.0,120.0,2,7246
395,Chandapura,3 BHK,1208.0,3.0,45.0,3,3725
396,Whitefield,3 BHK,1910.0,3.0,161.0,3,8429
397,Whitefield,4 BHK,3252.0,4.0,230.0,4,7072
398,Battarahalli,2 Bedroom,1200.0,2.0,65.0,2,5416
399,other,4 BHK,1200.0,4.0,175.0,4,14583
400,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2,6978
401,other,2 Bedroom,1000.0,2.0,165.0,2,16500
402,Bannerghatta Road,4 Bedroom,1200.0,2.0,125.0,4,10416
403,Rajaji Nagar,3 BHK,2390.0,3.0,410.0,3,17154
404,Rajaji Nagar,7 BHK,12000.0,6.0,2200.0,7,18333
405,Sultan Palaya,2 Bedroom,550.0,1.0,62.0,2,11272
406,other,2 BHK,1185.0,2.0,38.0,2,3206
407,Kengeri,2 BHK,750.0,2.0,38.0,2,5066
408,Mahalakshmi Layout,6 Bedroom,1200.0,7.0,250.0,6,20833
409,Kanakpura Road,3 BHK,1550.0,3.0,64.5,3,4161
410,other,3 BHK,1760.0,3.0,88.0,3,5000
411,Billekahalli,2 BHK,1125.0,2.0,62.0,2,5511
412,Nagarbhavi,3 Bedroom,1350.0,3.0,150.0,3,11111
413,Anandapura,2 Bedroom,1000.0,2.0,55.0,2,5500
414,Bommasandra Industrial Area,2 BHK,1090.0,2.0,31.48,2,2888
415,TC Palaya,2 Bedroom,1200.0,2.0,60.0,2,5000
416,Budigere,3 BHK,1991.0,4.0,103.0,3,5173
417,Bommasandra,2 BHK,1060.0,2.0,26.5,2,2500
418,Ambalipura,2 BHK,1105.0,2.0,75.0,2,6787
419,Hoodi,2 BHK,985.0,2.0,67.0,2,6802
420,Chandapura,6 Bedroom,1533.0,5.0,85.0,6,5544
421,Balagere,3 BHK,1590.0,3.0,79.0,3,4968
422,CV Raman Nagar,2 BHK,1120.0,2.0,55.0,2,4910
423,other,2 BHK,1069.0,2.0,55.0,2,5144
424,Marathahalli,3 BHK,1933.0,3.0,140.0,3,7242
